id,tag,name,birthday,mcnum,tlpd_id,tlpd_db,lp_name,sc2e_id,country,race,dom_val,dom_start_id,dom_end_id,current_rating_id,romanized_name
22721,Dodjyz,,,,,0,,,US,T,-2.24112889537939,50,51,8227859,
2830,Dog,,,,2849,3,,,US,P,,25,26,8221854,
8914,DogSledder,Julian Nash,,,,0,,,NO,T,-1.43861621683702,49,50,8222227,
16220,azik,,,,,0,,,UZ,P,-1.69042033607705,28,29,8211905,
7536,badaimer,,,,,,,,AU,P,-0.766355050660011,26,27,8226981,
12176,BARBIESAUVAG,,,,,,,,FR,T,-1.06551285309561,27,28,8211423,
21189,BesnoPile,,,,,,,,RS,P,-2.00132548543081,35,36,8219876,
21167,BetaSiege,,,,,,,,US,R,-2.63475819964108,69,70,8207223,
18192,Bomber,,,,,,,,TH,T,-1.79109426689409,28,29,8208224,
14881,Bulson,Wojciech Sojka,,,,0,,,PL,P,-1.81805737872732,71,72,8226766,
11044,BurningTits,,,,,,,,,T,-1.30571954884842,28,29,8216487,
15153,Buxich,,,,,,,,RU,Z,-1.67255326661844,30,31,8226426,
13002,byBye,"",,,,,"",,,Z,-1.4053129824029,26,27,8215193,""
22493,ByDa,,,,,,,,DE,T,-2.03359257153682,26,27,8215731,
22890,clic,,,,,,,,UA,P,-2.05399355504021,27,28,8217314,
17197,Crenshaw,,,,,,,,DE,T,-1.75984296903448,28,29,8222140,
21089,Dijovi,,,,,,,,PE,P,-2.14341123227248,60,61,8219694,
15842,Ditrax,,,,,,,,PL,T,-1.67702162280639,28,29,8214975,
19013,BasDrum,,,,,,,,ES,P,-1.81564073826482,25,26,8209802,
10849,BaSsLiNe,Moritz Hofmann,,,,,"",,DE,Z,-1.30356354156697,27,28,8225355,""
15417,BatGrok,"",,,,,"",,UA,Z,-1.83179882229478,39,40,8223283,""
22807,BattleMaro,,,,,,,,DE,P,-2.06682411953645,27,28,8213507,
17201,BattleTag,,,,,0,,,US,Z,-1.79652486443722,52,53,8208129,
14049,beaTStorM,,,,,,,,TW,T,-1.55017550816762,25,26,8228129,
5000,Cereal,Joshua LeBlanc,,,,0,,,CA,Z,-2.12639988140521,234,235,8217247,
9702,Cerebrate,"",,,,,"",,AU,Z,-1.23525859408154,27,28,8217854,""
23369,UpATreeZelda,,,,,,,,US,T,,,,,
12551,Christinayo,林翔宇,,,,0,,,CN,Z,-1.8790094481252,132,133,8225044,Lin Xiangyu
5106,Chu,Lindsay Herrell,,,,0,,,PH,Z,-1.07132905316028,61,62,8210950,
20751,ciceron,,,,,,,,PE,T,-2.44331384894966,60,61,8207579,
16844,Cilveks,,,,,,,,RU,Z,-1.72809927168675,26,27,8218557,
22464,EViLxSToNeR,,,,,,,,US,P,-2.03547607243746,27,28,8209532,
17425,Ex1s,,,,,,,,US,T,-1.79320744801349,26,27,8221013,
7298,엄지훈,"",,,,,"",,KR,T,,,,,
3448,Chendy,,,,3387,2,,,AU,Z,-0.657721525463621,28,29,8217623,
20980,Chepi,,,,,,,,US,Z,-1.95989510431483,26,27,8218429,
6169,fpx,,,,,,,,AU,Z,,25,26,8219903,
6012,FragQuenz,Simeon Arand,,,,0,,,DE,T,-1.10321774324984,38,39,8224433,
14512,framos,,,,,0,,,BR,Z,-1.58753842163212,25,26,8222904,
18491,Frank,,,,,,,,,P,-1.7975395565433,28,29,8211424,
3182,Frank,,,,,,,,DE,T,-0.810013316674952,40,41,8211300,
11095,Frankenstein,,,,,,,,PE,Z,-1.30860453302727,25,26,8221405,
23435,GatewayMan,,,,,0,,,LY,P,-2.09582421680372,28,29,8207751,
8926,Gathorisx,,,,,0,,,UK,Z,-1.29113905461057,40,41,8227351,
22955,Gato,,,,,,,,PH,R,-2.11373807273122,28,29,8220073,
21274,gatoloco,,,,,0,,,CL,Z,-2.06595125216055,37,38,8212085,
14811,GatorX,,,,,,,,,R,-2.07675742753786,99,100,8218380,
9523,Gatz,,,,,,,,JP,T,-0.916691629735241,25,26,8208054,
13493,Gavibear,Gavin Tait,,,,,"",,UK,Z,-1.59246680669939,59,60,8211132,""
3983,Gayguy,Garrett Miller,,,4582,2,,,US,P,-1.14773137375959,116,117,8212977,
2440,Gazonsh1k,,,,,,,,RU,T,-0.541398288460052,29,30,8217019,
6049,GnuGnu,,,,,,,,AU,P,-2.24238348860995,226,227,8220700,
19222,god830,刘昱坤,,,,0,,,CN,P,-1.95577530896521,46,47,8215297,Liu Yukun
2899,GoddeR,Elido Ruiz,,,2408,3,,,US,Z,,25,26,8209218,
16711,GodSenDeath,"",,,,,"",,RU,P,-1.68618156857381,27,28,8208656,""
516,giX,Andrew Benson,,2,2249,2,giX,,US,Z,-0.815529320991899,84,85,8222097,
23104,Goomba,,,,,,,,US,T,-2.03828698925458,25,26,8216785,
18266,Goon,,,,,,,,US,T,-1.7478121703785,30,31,8224940,
2924,Goon,,,,2423,3,,,US,P,,25,26,8212324,
9472,gOOse,,,,,,,,US,T,-1.28082657484343,28,29,8216865,
543,Here,김승주,1989-03-01,,4225,2,,,KR,P,-0.537725537505359,28,29,8220294,Kim Seung Joo
9364,Hermelin,,,,,,,,DE,T,-1.3266000383238,52,53,8214339,
14635,HERODIN,,,,,,,,BR,P,-1.60731570793729,28,29,8214051,
14303,HeroeGenial,,,,,,,,PE,T,-1.59325457472057,28,29,8211044,
22625,HeroldAndrastes,,,,,,,,,T,-2.07371021844573,53,54,8218889,
